train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2011-04-05,2011-04-12,2011-04-26,0.5499999999999999,0.4482638888888889,0.0,0.0,9
2011-04-12,2011-04-19,2011-05-03,0.55,0.4202380952380953,0.0,0.0,9
2011-04-19,2011-04-26,2011-05-10,0.7,0.65,0.0,0.0,9
2011-04-26,2011-05-03,2011-05-17,0.75,0.8163095238095237,0.0,0.0,9
2011-05-03,2011-05-10,2011-05-24,0.6666666666666666,0.8740079365079365,0.0,0.0,9
2011-05-10,2011-05-17,2011-05-31,0.6111111111111112,0.8365079365079365,0.0,0.0,9
2011-05-17,2011-05-24,2011-06-07,0.35,0.4550793650793651,0.0,0.0,9
2011-05-24,2011-05-31,2011-06-14,0.19999999999999998,0.2933531746031746,0.0,0.0,9
2011-05-31,2011-06-07,2011-06-21,0.1428571428571429,0.13392857142857142,0.0,0.0,9
2011-06-07,2011-06-14,2011-06-28,0.5714285714285714,0.5982142857142857,0.0,0.0,9
2011-06-14,2011-06-21,2011-07-05,0.875,0.25,0.0,0.0,9
2011-06-21,2011-06-28,2011-07-12,0.875,0.25,0.0,0.0,9
2011-06-28,2011-07-05,2011-07-19,,,,0.0,9
2011-07-05,2011-07-12,2011-07-26,,,,0.0,9
2011-07-12,2011-07-19,2011-08-02,,,,0.0,9
2011-07-19,2011-07-26,2011-08-09,,,,0.0,9
2011-07-26,2011-08-02,2011-08-16,,,,0.0,9
2011-08-02,2011-08-09,2011-08-23,,,,0.0,9
2011-08-09,2011-08-16,2011-08-30,,,,0.0,9
2011-08-16,2011-08-23,2011-09-06,,,,0.0,9
2011-08-23,2011-08-30,2011-09-13,,,,0.0,9
2011-08-30,2011-09-06,2011-09-20,,,,0.0,9
2011-09-06,2011-09-13,2011-09-27,,,,0.0,9
2011-09-13,2011-09-20,2011-10-04,,,,0.0,9
2011-09-20,2011-09-27,2011-10-11,,,,0.0,9
2011-09-27,2011-10-04,2011-10-18,0.125,0.0625,0.0,0.0,9
2011-10-04,2011-10-11,2011-10-25,0.125,0.0625,0.0,0.0,9
2011-10-11,2011-10-18,2011-11-01,0.0,0.11805555555555555,0.0,0.0,9
2011-10-18,2011-10-25,2011-11-08,1.0,1.0,0.0,0.0,9
